20.0 # 80.0 # 0.0 # 1.5 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
望着	6429	88.62492	5.76639	3.29693	3.29693	5.76639
让得	3282	158.42311	6.05628	5.00367	5.00367	6.05628
薰儿	2655	1075.93292	7.36769	4.51719	4.51719	7.36769
等人	2225	115.64243	6.58301	5.25368	5.25368	6.58301
炼药师	2011	1434.44947	5.70378	5.21238	5.70378	5.21238
盯着	1620	95.54733	5.73287	3.40279	3.40279	5.73287
脸庞上	1601	139.93660	4.99613	4.53856	4.99613	4.53856
天空上	1383	151.95689	4.15316	3.98112	4.15316	3.98112
瞧得	1221	221.02698	6.17956	3.80053	3.80053	6.17956
不知道	1217	136.84007	7.17930	4.82474	4.82474	7.17930
今曰	1162	789.58121	6.29225	3.81237	3.81237	6.29225
略微有些	977	170.57313	7.90198	5.99135	5.99135	7.90198
海波东	964	2441.88382	6.54657	4.26189	4.26189	6.54657
不可能	948	262.75909	6.60016	4.68069	4.68069	6.60016
曰后	927	136.89882	6.12798	3.93988	3.93988	6.12798
灵魂力量	927	351.64736	5.96322	4.66934	4.66934	5.96322
加玛帝国	919	1892.04722	5.86381	5.65998	5.65998	5.86381
纳兰嫣然	881	2016.11251	7.21520	4.36805	4.36805	7.21520
并没有	868	197.49401	7.48791	5.03779	5.03779	7.48791
感觉到	865	243.88611	5.36146	4.61834	4.61834	5.36146
章 	846	1917.97647	9.09531	6.75345	6.75345	9.09531
小医仙	844	1443.15544	6.06024	3.63423	3.63423	6.06024
药老	840	1442.33206	6.40883	3.73873	3.73873	6.40883
黑角域	828	3570.56181	5.40360	5.27723	5.27723	5.40360
并不	729	107.15325	6.45662	5.58464	5.58464	6.45662
嘴中	683	197.27510	5.59472	5.34152	5.34152	5.59472
陨落心炎	645	3626.92824	5.74520	5.66723	5.66723	5.74520
隐隐间	624	381.45211	4.12593	2.98861	2.98861	4.12593
伴随着	624	97.26617	6.73173	3.09426	3.09426	6.73173
美杜莎女王	615	1795.87082	6.62821	4.68963	4.68963	6.62821
闪电般的	608	764.94038	6.49368	4.84384	4.84384	6.49368
迦南学院	603	3563.37648	5.72228	5.67558	5.67558	5.72228
暴射而	601	164.78468	6.59042	1.77256	6.59042	1.77256
望向	594	188.82109	6.02721	3.79357	3.79357	6.02721
魂殿	590	1437.35289	5.93661	3.63197	3.63197	5.93661
面对着	571	85.80700	6.64752	3.21301	3.21301	6.64752
还能	553	89.65245	7.06358	5.27623	5.27623	7.06358
感受到	549	293.08863	5.22701	4.68847	4.68847	5.22701
斗宗强者	536	331.89668	4.74564	4.38321	4.74564	4.38321
妖傀	523	2379.72561	5.07744	1.57817	1.57817	5.07744
青色火焰	508	328.68609	5.10238	3.88529	3.88529	5.10238
天火尊者	507	1406.60693	6.52358	4.16685	4.16685	6.52358
掠过一抹	504	623.24428	6.43508	3.20544	3.20544	6.43508
没有丝毫	503	225.07274	4.88528	4.10691	4.88528	4.10691
暴掠而	499	178.51477	6.63750	2.12451	6.63750	2.12451
涌上	493	217.83808	4.60623	4.11497	4.60623	4.11497
浮现一抹	485	342.93638	6.49896	3.86694	3.86694	6.49896
净莲妖火	479	3532.67408	5.34702	5.08771	5.08771	5.34702
略有些	478	296.69389	7.52689	5.71884	5.71884	7.52689
体内斗气	477	97.08573	6.06925	4.27638	4.27638	6.06925
还真是	467	208.53600	7.15359	4.39468	4.39468	7.15359
喃喃道	466	158.93895	3.22547	1.51159	3.22547	1.51159
扫过	453	398.99781	3.95722	2.68467	3.95722	2.68467
闪掠而	447	123.28020	6.24071	2.73279	6.24071	2.73279
风尊者	438	1742.43001	6.36705	3.96189	3.96189	6.36705
却并未	435	234.96654	6.55681	3.98152	3.98152	6.55681
突然间	431	119.63194	6.39045	4.37458	4.37458	6.39045
魂天帝	430	1993.74755	6.40545	4.12174	4.12174	6.40545
星陨阁	428	5509.65716	5.39454	5.33918	5.39454	5.33918
之处	423	119.59201	7.30909	1.84759	7.30909	1.84759
斗皇强者	422	271.26683	4.59118	4.29729	4.59118	4.29729
内院	409	1399.72598	5.81774	5.60793	5.60793	5.81774
摘星老鬼	406	5684.18560	5.91570	4.68615	4.68615	5.91570
待得	404	192.69275	6.89326	1.60551	1.60551	6.89326
米特尔	393	7200.18281	5.34185	1.82290	5.34185	1.82290
这么多年	387	1847.73705	4.86815	3.25363	4.86815	3.25363
吞天蟒	387	5427.24199	5.21919	4.11253	4.11253	5.21919
带起	385	403.89797	5.57258	3.90375	3.90375	5.57258
黑袍人	385	91.94486	5.43948	4.22388	4.22388	5.43948
这些年	383	618.28855	4.88248	4.62877	4.62877	4.88248
化为一道	377	173.86286	5.97834	3.67370	3.67370	5.97834
斗气大陆	371	297.14118	4.68458	4.21558	4.68458	4.21558
目光转向	366	182.81639	5.83292	3.78342	3.78342	5.83292
爆发出	356	205.46531	5.15816	4.53889	4.53889	5.15816
风雷阁	356	4009.62498	5.64586	5.36397	5.64586	5.36397
这个家伙	351	172.57138	5.05513	3.85151	3.85151	5.05513
碧绿火焰	350	446.33803	5.53451	4.36985	4.36985	5.53451
地面上	342	94.32127	4.23208	3.71969	3.71969	4.23208
却依然	340	281.73888	3.78978	3.08313	3.08313	3.78978
脸颊上	329	105.26987	4.62338	4.22222	4.62338	4.22222
妖暝	318	2438.87749	6.34164	4.46268	4.46268	6.34164
斗尊强者	311	256.21246	4.56567	4.50203	4.56567	4.50203
一行人	309	229.90689	5.20957	4.04178	4.04178	5.20957
闪过一抹	304	500.47520	6.10178	3.54331	3.54331	6.10178
走吧	303	129.62867	2.19090	1.51909	2.19090	1.51909
没有半点	303	281.51672	5.37053	5.01070	5.01070	5.37053
这段时间	302	149.40623	4.34804	3.99974	3.99974	4.34804
云棱	300	7106.37940	6.01957	3.64850	3.64850	6.01957
偏过头	295	7781.58451	3.92656	1.56111	3.92656	1.56111
虚无吞炎	288	3920.81736	5.60912	4.63819	4.63819	5.60912
天妖凰族	287	2060.42103	5.20629	4.76287	5.20629	4.76287
玄空子	280	5589.00509	5.76741	3.56625	3.56625	5.76741
弥漫而出	279	258.95520	4.72650	1.57458	4.72650	1.57458
还未	277	261.17760	6.05120	5.97095	6.05120	5.97095
黑袍青年	277	772.24923	3.90370	2.52535	2.52535	3.90370
这种时候	275	157.14530	2.89667	2.53861	2.89667	2.53861
却并	273	103.43265	3.46557	3.13043	3.46557	3.13043
星斗圣	273	2075.34393	3.65869	2.87398	2.87398	3.65869
厄难毒体	266	8468.32868	5.04253	4.31703	5.04253	4.31703
斗王强者	262	304.72176	4.70039	4.64205	4.64205	4.70039
目光注视	257	91.10620	4.23578	1.71138	4.23578	1.71138
听得	256	83.49954	5.95468	3.30691	3.30691	5.95468
岩枭	256	9380.55271	4.03946	3.86905	4.03946	3.86905
这些家伙	254	95.92860	5.20013	4.62208	4.62208	5.20013
林修崖	253	9259.22674	5.79327	4.30366	4.30366	5.79327
所有人都	252	92.18341	3.88733	2.22979	3.88733	2.22979
天火三玄变	250	4136.58961	4.20879	3.98102	3.98102	4.20879
菩提古树	247	4891.49317	5.18559	4.84350	4.84350	5.18559
怎么可能	247	531.95856	5.18462	3.72545	3.72545	5.18462
感应到	247	238.73708	4.60650	4.31776	4.31776	4.60650
慕骨老人	246	2878.98356	5.80013	4.36683	4.36683	5.80013
若琳导师	245	7327.67080	6.41764	3.50012	3.50012	6.41764
噙着	244	92.42874	4.81653	4.56447	4.81653	4.56447
